read_name	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod	CGG_methylation
0b638d41-5609-4ea7-a475-fb199bbcce87	fmr1	-	21	5.017283917481501	4.30125001794327	-3215.0661093956605	58248	0	010100011010010010	7
13fff4f0-71dc-4c06-87e8-42db62858a15	fmr1	-	21	6.025693844280327	6.206878924322538	-3758.678100230013	61831	511	0000000001101010000	4
0f19f7aa-4367-4872-8b19-1ebe48e3ce25	fmr1	-	21	6.322218546416938	6.05149341308298	-3804.15885157949	65059	350	0100100010010110010	7
d968c33e-8829-4909-8316-e087944bb1f0	fmr1	+	23	5.977380018967849	5.296427992922648	-4618.666399829833	11573	222	0000000010010000	2
3c5017ba-c89a-411a-8280-ac5e42ade90f	fmr1	+	15	5.3611446429823335	4.6544888646030245	-5446.7881577752205	9080	185	0000110010010101	6
68ce7c5d-66a1-457b-9466-c6e8389188b9	fmr1	-	19	5.693426590052616	4.752081759527627	-3618.610240729709	58049	0	111101101010100111	12
ad5f4f14-067d-4e8e-a407-b809171b3a53	fmr1	+	23	4.855260358102199	4.582088825113379	-6393.014384346935	13246	650	100000000100000000	2
3a999c19-6951-40b7-9c5b-ecb76fd34334	fmr1	+	15	4.319873233598232	5.425112792160784	-4797.926415727265	8377	91	1001011000010	5
c23b3984-feea-4c36-a744-6cc20544188a	fmr1	-	22	6.629762530168109	6.560285398004886	-3663.223512592522	55421	118	0010000111000011000	6
f8964def-c413-47a1-8b09-a1f3cd6256db	fmr1	-	24	6.541506615161234	7.990021736391129	-4158.346396784413	60273	440	0111100111110011100011	14
22e7c518-57cd-4716-82c0-fd83c4545d59	fmr1	+	568	5.142423842658844	5.525522474614846	-54475.10438191694	7952	17552	011000000100000000000001100000000000000000000000000010000000010000000111010111011100010000000010000000000001000101000000100101000000000000001110010000000000000000000000000000000000000000100000001000000100000000000000110000000011000000000000000001010000000000010001000000000110000000000000000000000000000000000000000011000000000001000000001111001101000100000000000000000001000000000100000001101100000000000100000000000000000000000000000000000000000000000000000000100010000000010001000001111000000000000000111100000000010	73
2613b530-1ce5-490e-b417-56e6f71af871	fmr1	+	11	5.134176965374564	4.433753448353835	-4316.2035007907625	8351	0	000000010	1
c217bd5e-d808-423f-bdfe-1112b9689928	fmr1	+	21	6.689421994109494	5.255286384159762	-4592.620891049024	8809	336	1000000101000001110	6
6c49f031-1b5c-40ec-ad06-36e74d1bf2c7	fmr1	-	3	7.434633937026515	3.385692754424779	-1308.5788907423253	55022	0	0	0
f05eb433-38b6-487c-ba5d-e8ef40a14a15	fmr1	+	19	6.603468707103637	5.433552021191732	-4063.0869888742745	8523	0	101000001000001000	4
c189f533-6852-48c6-9d3d-04986ff7bcd9	fmr1	-	20	6.580318673024632	4.268192074763529	-3833.273986996857	56099	112	0110101001101111100	11
c9cd3c55-37af-4f51-a12a-1b5a17e9b9b9	fmr1	+	21	5.154651780480656	6.073351670226319	-5631.519541889873	9020	599	000000101001001100000	5
efd5e24c-68be-456b-a158-7ce84ffc6519	fmr1	-	199	3.599924580032277	3.112189913532572	-36764.73753858488	18411	6138	0111101010011110101001011110011101110000110100001001110010011110110111010111011110111001011011110011111101001011110010011101110100011100000101011111101101010110111101110111110010111101101010111111111110111010111101110111010011111	147
47ad4725-2b97-4289-8ad2-d7d439da2519	fmr1	+	23	4.731331533527516	6.535456826708174	-4958.201506848953	7936	887	100000000111111110	9
4cfac9a3-b32c-434b-95b5-67beaf363fb9	fmr1	-	21	6.005815380115799	6.981366489955358	-3664.5702800272966	61658	436	11001000011010110	8
d99cb4a5-3a4f-46b5-be31-5759341d414a	fmr1	+	196	3.744727150284824	6.84714352334724	-31406.931874901195	10331	7720	01000001001010000010010000110000000000000101010000000011000000100010010010011000000000000000000010000000100001000000100100000000000001001001000000000000000000000010000000011101000010011011000	37
098121e1-521e-4103-bd8f-674dba953a5d	fmr1	-	19	5.565961654161948	5.910927898306355	-3543.749491787501	54341	94	00100001110000011	6
32b64a33-ecb3-4cce-95a5-0f4dbbf35953	fmr1	-	20	7.261864071800595	5.626235403445986	-3305.9764499400435	56129	292	010100001100110101	8
c5ba11a4-d0f4-4966-a591-54f4e7c91d8a	fmr1	+	24	6.261995749803459	5.16142866519221	-5225.531439539154	8437	493	1100011000100000111000	8
3f1a8fd7-f741-4e80-bf8b-23a273c3dafe	fmr1	-	20	6.125773600363234	7.426561917412378	-3332.565831824068	52512	45	110010000111110100	9
cc3f9552-7a79-4cc5-a23d-4a46ec89b793	fmr1	-	617	3.764911481929572	6.145400346888995	-112387.47919099432	33414	22952	101101101011011011001101000011100110001000011011011111011111011000111111111001111110111010010011011100010011011011010011001011010011111010101111010111011001101001011011111110101101101010110111011101101011100101000101000101101001010111111001000110001011111011111111101010010101001001010011101101110111100000100110011011111011101111101111011011111011100110111111011000111111010101111011110111001100101101011001101101001110000110110111011011111111111111101111111110011100010101011010000111001110100110101111111010101010110110100011100011111111111101100110111111101010001011111011010110001011011111101111111011100000000010101111110101110110111101011111111110101101111111110011000111101010111111111111111100000111011010011001111011	463
611fccb8-5bab-4f91-80a5-030206afdc7e	fmr1	+	24	5.693499773550725	6.305909080276946	-6384.507773612088	10749	901	00000000000010000000	1
c8a9301a-536b-4a9b-945d-c6b55733197b	fmr1	-	22	6.410925681727707	4.2519468906748745	-3093.899928412904	57557	0	11111111111111111	17
d369ff9c-90ad-4701-8d1c-5592f424dd8c	fmr1	+	20	6.742384255372733	4.829568698668492	-4201.631089082579	8816	106	111000000100000100	5
93d7e806-c773-4007-b775-26cfa6cbd076	fmr1	+	22	4.224575968691425	3.450538187833206	-8624.34744860507	9347	597	1011011101000000100	8
1af2dcac-9d3d-40f6-936f-a5a4ec31ec57	fmr1	-	20	5.949330224435196	5.943349745323376	-3613.748619496524	60413	238	01011001101010100	8
ebaf32bb-ac9c-4f4d-9333-0ccc925617d2	fmr1	+	19	7.307265713980637	6.119849280973451	-4637.90384552766	8089	388	000001000110000000	3
84cd9d7b-d804-472d-8509-08e95ade4670	fmr1	-	18	6.010504415760869	6.776227678571429	-3699.992971611757	55183	387	0000111010011111110	11
b7f80c21-b739-42dd-862e-eb4c7ee84afe	fmr1	-	9	6.090759913126628	4.809479277012712	-2124.3827348342097	54966	0	011011	4
c936e580-f784-4eb3-b5a0-c7f209c6eb92	fmr1	+	20	6.586996553159519	5.135224123846745	-5247.488290169749	8562	481	000000000111000000	3
cf05b747-6aac-4f1e-8b73-5af6e8b11b24	fmr1	-	19	6.00231102445974	6.194113932291667	-3559.014466629563	59345	127	0100000010100000	3
3de32043-678c-4ff3-a2d7-bb8e57ac858a	fmr1	-	21	5.488559784569861	6.798672537076271	-3474.6578627324534	56604	89	00100001100001110	6
9e7dc3a9-9bf8-42a4-a027-dfc42dc1d834	fmr1	+	23	6.205096683527195	6.121271306818182	-4584.281638679165	8336	334	100000001001000001	4
6ea60975-3ad9-4ae2-bdc9-3c3640a434a2	fmr1	+	18	5.929391121031746	6.386209211947823	-5093.788736396909	9385	595	000000000010000000	1
cf0f3f93-c2cb-42ad-9dfa-39ffa1e17612	fmr1	-	21	7.015880408653846	5.560081002124646	-3541.032062786484	54067	220	0001001010000111000	6
47778084-9a8d-4000-8c5b-75f6451f9052	fmr1	-	20	6.654927544523968	6.433624751984127	-3466.6888044615425	53979	308	111011101111111000	13
638f6cab-e70b-4c69-b1d9-70f48584ad2f	fmr1	+	23	5.80663820626935	5.871265944363941	-4144.019715839112	8339	110	11101000001000000000	5
97086f0f-ce61-40ff-8aab-d6d5f765332b	fmr1	-	20	6.085508592332124	5.747169973423754	-3292.171247654608	60082	0	111011001110101000	10
8232deda-ba94-4b96-b734-e87797ae888b	fmr1	-	21	5.622006892061782	6.759879534139403	-4139.733877705156	54669	43	00011010101000011000	7
ab16368b-4813-44d9-8758-c27251d879f9	fmr1	-	13	6.202248752707302	4.801747898159898	-2551.114177036911	58674	0	00001101111	6
c6ab71a8-f43f-4e21-b6cf-62906913c93a	fmr1	+	21	6.428279307665746	5.802933100514374	-5183.676799297104	10491	665	110100000100000000	4
4473f262-0eba-4d01-bd76-89a7c7e6486f	fmr1	-	20	5.400430728010544	7.328971305653875	-3945.376597134597	56747	144	000100001100011000	5
cf1c4c8d-4bea-4c29-8dc7-70ac0696495e	fmr1	-	21	5.318776568648117	6.24302764005215	-3480.6749671588614	58203	0	0001100000101011100	7
9e940cf6-5291-46b4-adc2-c8814d04b942	fmr1	+	17	5.807767058970227	5.411516982609276	-5976.747849287451	8809	528	0000001001010000	3
e37e68de-eddf-4452-847d-3378e49a8662	fmr1	-	13	7.648862311899926	5.021935861125255	-3066.1863892697856	73595	0	111111111100	10
ca2a19f0-251d-4097-a3f0-e05a0c5ac96d	fmr1	-	19	6.404510098253275	7.03940680958797	-3577.6322372980785	78379	130	101111110000011010	10
ee7d04fb-9662-4119-9f31-d2a4ef662013	fmr1	-	3	6.097639654820261	3.9127849367620113	-1500.5670468450485	52411	0	0	0
84349d65-5b5d-492f-ba3a-9889a093ab65	fmr1	+	19	5.806569663711072	5.083462943466055	-5610.464212888794	8257	346	00000011010100010	5
f7bb886c-3f0f-4ba0-a180-b2f6674c47d4	fmr1	+	22	6.298294371186577	4.944822241902834	-4726.9283502759845	8094	64	0000000000110000000001	3
798a57a0-8235-45ff-b609-2a699a307079	fmr1	-	641	3.549243294618984	5.294203978654176	-100513.71956960329	34895	21091	101110111001001110101010101110110001101101111110010111001101101000101101110001111010011010101011110101110011010111110110101110011111001001011111000010000011011010111011001100101010011001011111011100111110001110011010110111011101101110011011000010111101111110011010100111111010011101110010110010111100111111101001010000001100000001011111010110111011110110110010001010011101011110100111100111100101001110011010010010111010101101000111111011010011010110110010111110010101100000110011000111011111010111101101111101001110101011101011000000111100110110111110011111010010001110110000100101011111010110111100010111110101101001010111011010111111111101100010010010001010111111011110110111010001111011101111010010110011101101011001011011101101111001010011001011011011	449
f0bd17fd-e3f6-4ea7-8226-af5108532c09	fmr1	-	23	6.428483244922391	5.86430884009009	-3540.4715334270245	66797	128	110010101111111000100	12
14146c76-abc0-4583-bb74-31e57a1a4e72	fmr1	+	521	6.383945843962585	3.199605062997648	-129604.8045757006	7547	26221	000000101110100011110000000010100111010101000010000010011000100111001110110011000000100100000111100011001010101001111010011000001000101001110000010101011010000111101011000101000011001000010001110101010001110110110000000110011010001011011100000100100111010011010101011011000111000000111000101101110110000000010111000001101100110100001111110011001001100100010110010101100010010010111110000001011001001111011001000001000000010000111101000111001000110101000111011010101001000011110101011101010101010001110011001101101100100011101110110010101001110000101001100001010100010010011111110110010010110001101101100100000110100101011	278
086f9747-6983-4b1a-a7dc-91f86c8f1be2	fmr1	-	23	5.484339913922156	5.864383158911902	-3923.044024080801	62569	121	0000011101110111001100	11
26f9f0f9-d745-48af-89e7-4994c32ed9df	fmr1	-	19	5.005464245938155	7.041531818392724	-3352.1878108933674	56995	273	00001101110101000	7
e497aa88-ef9e-46f4-87e4-3ffb6ab06afe	fmr1	+	23	6.060612437060422	6.457892422652363	-5246.6229350957965	9018	553	001000000000100100100	4
d9859ab1-1219-4746-a055-c29da953cb98	fmr1	+	19	5.433223103863891	4.570240514168985	-4059.702393903194	7502	38	000000000110001000	3
a77eb0c6-5bcf-4156-814b-be0cfa5620c4	fmr1	+	21	5.628504645894971	5.638407400849858	-5471.907609881162	11616	328	000000000110100000	3
452302e7-7b6b-45ae-b64b-0d78e658f8fa	fmr1	-	21	6.041272930070465	4.331810619212963	-3456.9707452940397	60127	0	1110100110101111111	14
fe668ff6-be43-4c1e-957b-cfdc6c51c40e	fmr1	+	20	4.928954309581584	5.666860145246479	-4642.93242476351	8697	172	0000000000100000000	1
546fc539-6437-46c1-ba4f-98b87c28881d	fmr1	+	446	3.7685226224802575	5.711540406537687	-50058.08043465294	12346	14107	010000000000000010000000000000000000000000000000000000000001100001000010001101010000000010000001100100000000100001000010000100010011000000000101010000100010000000000000000000000000000000000100000000000000000000100000000000100000000000100000100000000000000000000000000011000000000000010000100010000000110010100001010010010000000101000000000000000000000100000000000011000000100000000000000100001011000000000	54
6851cb27-0347-468e-aac5-d262e3f086ad	fmr1	+	20	5.248695755394535	5.091079390263496	-5503.028505752212	11354	282	0101000001001011100	7
eda9af23-a7d8-4bfb-907f-e25eaeb0dcc6	fmr1	-	249	4.876441854049386	5.18976814516129	-50333.86898692517	80569	10942	11111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111	246
96fc5ec2-9539-442c-8469-83255556dadc	fmr1	+	21	6.008042207154088	4.8232538298760135	-5747.396600384967	9447	286	000000001000000100	2
65552c0e-e5d7-495b-9bd3-1c6498e9469c	fmr1	+	22	5.358897167799306	5.933927384118541	-6500.874890157412	9586	670	11111111111111111111	20
2ebafe54-f7ba-4903-9537-130c6ca55724	fmr1	-	22	5.972801012402869	7.327320939781022	-3437.295187675268	58244	125	00000000010000001000	2
a2c7fa77-a136-42a2-a1f6-41aa5455afb6	fmr1	+	23	5.9469972319950335	4.905815699591709	-4453.475680697274	7657	24	00000000100100000000	2
